S.No,Title,Date,Time,Venue,Room/Hall,Speakers,Description,Knowledge Partners
11,Reimagining Gender in Technology - Designing Safer Digital Futures and Advancing Ethical AI for Inclusive Platforms,16 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,L1 Meeting Room No. 15,"Andrea Wojnar, UNFPA; Her Excellency May-Elin Stener, Ambassador of Norway to India, Sri Lanka, Bhutan and the Maldives; Kalpana Yadav, UNFPA India; Mr. Rajiv Makhani, Tech Guru; Ms. Arpita Kanjilal, Digital Empowerment Foundation; Ms. Carolyn Florey, Asian Development Bank; Ms. Uthara Ganesh, Snapchat; Nehaa Chaudhari, Ikigai Law; Soha Ali Khan, UNFPA","Grounded in evidence and lived realities, this initiative shares research and practice-based insights on approaches to improve the safety, inclusivity, and accessibility of digital spaces for women and marginalised groups. It outlines pathways towards ethical and inclusive digital futures, including actionable steps to strengthen transparency and protection. The session will also examine cross-sector collaboration across government, the private sector, academia, civil society, and international stakeholders.",United Nations Population Fund (UNFPA)
12,AI for Smart and Resilient Agriculture: From Research to Solutions,16 Feb 2026,9:30 AM - 10:30 AM,Bharat Mandapam,L1 Meeting Room No. 19,"Cina LAWSON, Government of Togo; Dr. Bharat KAKADE, BAIF Research Development Fondation NGO; Dr. Carole CARANTA, INRAE Research institution; Dr. Thierry CAQUET, INRAE Research institution; Dr. Vincent MARTIN, FAO Intergovernmental institution; Henri VERDIER, Inria Foundation CEO; Henry VAN BURGSTEDEN, Senior Innovation Officer","This session will bring together diverse perspectives to explore how artificial intelligence can support sustainable, efficient, and climate-resilient agriculture. It will examine farmers' needs, the scientific and data challenges shaping AI-driven innovation, and the conditions required for impartial adoption and sovereignty. The discussion will bridge research and on-ground experience, highlighting practical applications, policy considerations, and future pathways to ensure AI solutions are inclusive, scalable, and relevant across different agricultural contexts... Read More",Inria
13,Multilingual AI in Universities - Advancing Inclusion Through UA and Stakeholder Insights,16 Feb 2026,9:30 AM,Bharat Mandapam,West Wing Room No. 6,"Sameer Gahlot, National Internet Exchange of India","As digital technologies become central to education, linguistic accessibility emerges as a critical equity issue. This study examines how universities enable multilingual participation through UA. Drawing on Diffusion Innovation Theory (DIT) and Technology Acceptance Model (TAM), this investigation reviews stakeholder experiences across universities in Asia and Europe using an innovative AI-assisted interview methodology. The findings also revealed critical gaps in universities' capacity to advance UN SDG 4/9/10/17 through inclusive digital infrastructure while presenting billions of dollars opportunity.... Read More",National Internet Exchange of India
14,Practical Aspects of Using AI in Daily Life,16 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 17,"Dr.Preet Deep Singh, Apna; Prof. Shiva Kakkar, Jaipuria.Group; Prof.Vaibhav Chaudhary, UNICAMP Brazil; Shri.Nirmit Parikh, BlueMachines AI","This hands-on workshop aims to give an introduction to AI with live demonstrations starting from basics such as how it can be used in data analysis, making presentations and drafting documents. It also covers precautions one should take while using AI and dealing with proprietary, confidential or sensitive data. The session then moves to an entrepreneur perspective on challenges the ecosystem currently faces. The session will end with an open floor for questions.",Apna.co
15,"Unlocking AI's Potential for Agricultural Innovation and DPI-Enabled Economic 
Growth",16 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L2 Audi 1,"Fatema AlMulla, International Affairs Office of the Court; Jagadish Babu, EkStep Foundation; Nidhi Bhasin, Digital Green Trust; Niriksha Shetty, PxD; Sanjay Jain, Gates Foundation","This session explores how artificial intelligence, supported by digital public infrastructure, can strengthen agricultural systems and drive inclusive economic growth. It focuses on practical pathways to deliver trusted, data-driven advisory services, improve farmer decision-making, and enable scalable innovation through interoperable systems, partnerships, and governance frameworks that support real-world impact.",Gates Foundation
16,Harnessing AI for Water Resilience and Sustainable Growth,16 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,West Wing Room No. 6,"David Wood, ICfS; Shruti Kapil, ICFS; Sujith Nair, Foundation for Interoperability in Digital Economy","As artificial intelligence becomes the backbone of global economic growth, its physical footprint is expanding rapidly particularly through energy-intensive, water-dependent data centres and digital infrastructure. At the same time, AI is emerging as one of the most powerful tools available to solve the world's most urgent water challenges: scarcity, leakage, contamination, flooding, and inequitable access.",International Centre for Sustainability
17,"Effective AI Assessments, Verification and Assurance: Establishing the Foundations for Responsible Confidence in AI",16 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,West Wing Room 4 A,"Anne McCormick, EY; Dr. Ansgar Koene, EY; Dr. Jibu Elias, Mozilla; Dr. Philip Howard, International Panel on the Information Environment (IPIE); LEE Wan Sie, Singapore Infocom Media Development Authority, AI Verify Foundation; Narayanan Vaidyanathan, Association of Chartered Certified Accountants (ACCA); Prof. Dr. Balaraman Ravindran, IIT Madras","A structured discussion on the challenges and requirements for building an ecosystem for AI system assessments, governance, and risk management. Building on global efforts such as the UN's AI auditing review, recognized AI standards, and emerging AI assurance skills and testing frameworks, the session will outline a roadmap toward reliable reporting on AI system quality, governance, and monitoring. Expert presentations will cover practices, pilot studies, reporting demands, barriers, and pathways to overcome them globally.",EY (Ernst & Young LLP)
18,Empowering the Human Edge: Building a Future-Ready Workforce in the Age of AI,16 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 18,"Aparna Ganesh, Tata Sons; Idris A. Rai, Inter University Council for East Africa; Jay Krishnan, Beyond Next Ventures; Phani Nagarjuna, Telangana AI Innovation Hub; Roma Datta Chobey, Google India; Sidharth Madaan, BCG; Vani Kola, Kalaari Capital","Bringing together governments, enterprises, and academic leaders, this session will spotlight how large-scale AI skilling and reskilling initiatives are being designed and delivered; the gaps emerging in AI talent supply; and what it takes to build a workforce that can adapt and thrive in an AI-driven economy. The discussion will surface practical lessons and scalable approaches for building inclusive, future-ready AI talent ecosystems.",Japan International Cooperation Agency
19,AI for Bharat,16 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 15,"Mr. Aakrit Vaish, Activate; Mr. Akshay Chaturvedi, Leverage Edu; Mr. Amit Kumar, Google; Mr. Avinash Raghava, SaaSBoomi & AIBoomi; Mr. Jasminder Singh Gulati, Native AI; Mr. Karthik Reddy, Blume Ventures; Mr. Ramesh Rasker, MIT; Mr. Ritesh Malik, Innov8; Mr. Sanjay Jain, Bill & Melinda Gates Foundation; Mr. Tej Kapoor, ICICI Venture; Mr. Vijay Shekar Sharma, Paytm; Mr. Will Poole, Capria Ventures; Ms. Anuja Dhawan, Exotel; Ms. Deepali Dahiya, Native AI; Ms. Juhi Bhatnagar, India AI Research Organization; Ms. Natasha Malpani, Boundless Ventures; Ms. Natasha Malpani, Boundless Ventures","This session explores how artificial intelligence is being applied to address context-specific challenges. It will highlight emerging applications and technology developments from research institutions and innovation ecosystems. The discussion will focus on the intersection of AI systems and local needs, examining how AI is influencing daily life and economic activity across different sectors.",Native AI
20,Roundtable on AI for Decarbonisation and Circularity: Building India's Low-Carbon Infrastructure,16 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 10,"Bishakha Bhattacharya, Wipro; Debajit Palit, Chintan Research Foundation; Lena Robra, Swissnex, India; Mr. Abhishek Gupta, WeVOIS; Mr. Anand Sri Ganesh, NSRCEL, IIM Bangalore; Mr. Vedant Taneja, Beyond Renewables; Ms. Sapna Bhawnani, Alstom; Rohan Chhatwal, Maruti Suzuki","As India advances its climate and circularity ambitions, artificial intelligence is emerging as a critical enabler of low-carbon transformation. This panel will explore how AI can support decarbonisation across supply chains, infrastructure, and waste systems, while addressing challenges related to data, scale, and governance. Bringing together voices from civil society, industry, and the innovation ecosystem, the discussion will focus on practical pathways, policy enablers, and collaborative models to accelerate sustainable, system-level impact.","NSRCEL, The Indian Institute of Management Bangalore (IIMB)"
21,Information Integrity as an Infrastructure for Trust: Empowering Youth and Future Generations,16 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,West Wing Room 4 B,"Alpesh Shah, IEEE Standards Association (IEEE SA); Amir Banifatemi, AI Commons; Gabriela Ramos, IEEE; Karine Perset, OECD; Mohammed Misbahuddin, C-DAC Bangalore; Moira Patterson, IEEE SA; Tanya Perelmuter, Fondation Abeona; Yuko Harayama, IEEE; Yuko Harayama, RIKEN in charge of international affairs","The proliferation of generative AI and algorithmic content systems has created a new kind of risk for young users globally: Increasing exposure to manipulative design, hyper-personalized content, and AI-generated information at an overwhelming scale. Age-Appropriate Design (AAD) is a policy and design framework that helps develop safer, more accountable digital environments with the best interests of children in mind.",IEEE
22,"From Guardrails to Adaptive Governance in the Global South: Building a Joint Responsible Governance–HTA Framework to Deliver Safe, Trusted, and Scalable AI in Health",16 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 16,"Dr. Mona Duggal, National Institute for Research in Digital Health and Data Science Indian Council of Medical Research; Dr. Monika Kochar, DAKSHIN – Global South Centre of Excellence; Dr. Ricardo Corpuz, University of Fiji, Fiji; Dr. Sarang Deo, Indian School of Business; Dr. Shalini Garg, Lancet South-East Asia; Mr. Haitham Ali Ahmed El-Noush, Norad – Norwegian Agency for Development Cooperation; Rado Andriantsimiavona, HealthAI - The global agency for responsible AI in Health","There is growing recognition that Global South contexts require governance models that go beyond static regulation. These models must retain regulatory rigor while enabling dynamic assessment, contextual evidence generation, and socio-technical considerations that reflect local priorities, capacities, and values.
Core Proposition: A Two-Track Adaptive Governance Model
This panel proposes a pragmatic, two-track governance approach for AI in health",HEALTH AI - THE GLOBAL AGENCY FOR RESPONSIBLE AI IN HEALTH
23,Standards and Policies for AI in Farmer-Centric Smart Agrifood Systems,16 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 19,"Frederic Werner, International Telecommunication Union (ITU) and United Nations; Gopal Patra, CSIR- Fourth Paradigm Institute, Bengaluru; Rabi N. Sahoo, Division of Agricultural Physics, ICAR- Indian Agricultural Research Institute; Raghu Chaliganti, Interactive & Cognitive Systems group at Fraunhofer HHI; Santanu Chaudhury, IIT Delhi; Volker Klima, German Embassy in New Delh","This session will examine the standards and policy foundations needed to responsibly scale AI-enabled, farmer-centric agrifood systems. It will focus on sustainability, food and nutrition security, and inclusive income growth by addressing interoperability, trust, and deployment at scale. The discussion will explore priority standards gaps, enabling policy levers, and coordination across governments, research, and innovation actors to move from pilots to secure, widely adopted AI systems across the agrifood value chain.",Fraunhofer HHI
24,Sovereign AI for National Security : India's Path to digital Sovereignty,16 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 9,"Mandar Kulkarni, Microsoft; Mr. Martin Willcox, Teradata; Mr. Pier Stefano Sailer, KPMG; Preet Saxena, Concentrix; Shri Brijesh Singh  IPS, Govt of Maharashtra; Shri, Abhishek Verma, KPMG India; Shri, Ajay Singhal, Haryana","The session explores how Sovereign AI is becoming central to  national security, covering its role in defense modernization, cyber resilience, space and hypersonic domains, internal security, and policing. It highlights how indigenous AI enhances threat detection, border management, and critical infrastructure protection, while also examining government–industry collaboration to build secure, resilient AI capabilities.",KPMG
25,Redesigning the AI Economy,16 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L1 Meeting Room No. 8,"Amitabh Nag, Digital India Bhashini Division; Divya Siddarth, Collective Intelligence Project; ⁠Dr. Sunayana Sitaram, Microsoft Research India; Manu Chopra, Karya","The main stage session will examine how participatory and ethical data pipelines can support a more inclusive AI ecosystem at national scale. Bringing together policymakers, technologists, researchers, and community representatives, the discussion will explore community-led data creation, evaluation, and model development. The session will highlight how fair compensation, local knowledge, and transparent governance can strengthen AI systems and inform responsible AI policy and practice in India and across the Global Majority.",Karya
26,"Unlocking AI's Potential for Agricultural Innovation and DPI-Enabled Economic 
Growth",16 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,L2 Audi 1,"Fatema AlMulla, International Affairs Office of the Court; Jagadish Babu, EkStep Foundation; Nidhi Bhasin, Digital Green Trust; Niriksha Shetty, PxD; Sanjay Jain, Gates Foundation","This session explores how artificial intelligence, supported by digital public infrastructure, can strengthen agricultural systems and drive inclusive economic growth. It focuses on practical pathways to deliver trusted, data-driven advisory services, improve farmer decision-making, and enable scalable innovation through interoperable systems, partnerships, and governance frameworks that support real-world impact.",Gates Foundation
27,Harnessing AI for Water Resilience and Sustainable Growth,16 Feb 2026,10:30 AM - 11:30 AM,Bharat Mandapam,West Wing Room No. 6,"David Wood, ICfS; Shruti Kapil, ICFS; Sujith Nair, Foundation for Interoperability in Digital Economy","As artificial intelligence becomes the backbone of global economic growth, its physical footprint is expanding rapidly particularly through energy-intensive, water-dependent data centres and digital infrastructure. At the same time, AI is emerging as one of the most powerful tools available to solve the world's most urgent water challenges: scarcity, leakage, contamination, flooding, and inequitable access.",International Centre for Sustainability
28,"A Billion Voices, One AI: How Language Tech Transforms Nations",16 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,L1 Meeting Room No. 16,"Amitabh Nag, Digital India Bhashini Division; Chennai Chair, Masakhane African Languages Hub; Santosh Kevlani, Voice & Language AI Initiative, EkStep Foundation; Srikanth Gopalakrishnan, Center for Open Societal  Systems; Vijay Sureshkumar, DPI Emerging Innovations at Gates Foundation","This session will be a moderated panel with Q&A, featuring experts in national language missions, Voice AI, and equitable tech investment across India and developing economies as Africa. The discussion focuses on building language AI infrastructure at population scale, sharing experiences, and setting a forward with themes like open infrastructure and South-South cooperation.",Centre for Open Source Solutions (COSS)
29,Competing to Innovate: How Competition Accelerates AI Innovation,16 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,West Wing Room No. 6,"Amba Kak, AI Now Institute; Augustine Peter, Competition Commission of India; Kush Amlani, Global Competition & Regulation, Mozilla; Payal Malik, Competitiion Commission of India; Shweta Rajpal Kohli, Startup Policy Forum (India)","AI risks being shaped by a concentrated few, leaving the Global South as consumers rather than co-creators. When data, compute, foundational models, and distribution are controlled by a handful of corporations, innovation suffers. A competitive, open source AI stack, built on affordable compute, local cloud options, and locally trained models, is essential to fostering innovation. This panel explores AI resource distribution, barriers facing Global South innovators, and remedies through openness, competition, and South–South cooperation.",Mozilla
30,"AI for Disaster Management: Anticipatory, Hyperlocal, Scalable",16 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,L1 Meeting Room No. 10,"Mr. Puneet Chandok, Microsoft; Mr. Sujit Mohanty, UNDRR; Ms. Lakshmi Pattabiraman, C4EC; Ms. Manju Dhasmana, Microsoft; Shri Abhishek Singh, Meity, GoI; Shri Krishna Vatsa, NDMA; Snehal Verma, Nature Dots","This session spotlights how ""right-sized"" and responsible AI-enabled workflows can strengthen disaster risk reduction (DRR) by enabling fast, inclusive capture of potential risks, losses and needs, trusted verification, and improved decision-making for responders.",United Nations Office for Disaster Risk Reduction (UNDRR)
31,From Buzzword to Blueprint: Engineering Sustainable AI at Scale,16 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,L1 Meeting Room No. 18,"Archana Joshi, Xoriant; Dr. Gayathri Aaditya Eranki, Sir M V School of Architecture, Design & Planning; Dr. Niladri Choudhuri, Green Computing Foundation; Jaskaran Singh, Birchlogic; Naresh Choudhary, Infosys; Srinivas Varadarajan, Vigyanlabs; Vineet Mittal, Ziroh Labs","This session brings together distinguished thought leaders from industry, academia, and the startup ecosystem to explore how AI sustainability can transform from an abstract ESG aspiration into a measurable engineering discipline. The session will draw out practical insights, frameworks, and actionable guidance that practitioners worldwide can immediately apply. The questions asked will elicit specific expertise from panellists while building a cohesive narrative.",Green Computing Foundation
32,"Agentic Commerce: Trust, Tokens and 'Know Your Agent' for the AI Economy",16 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,L2 Audi 1,"Dr Pankaj Jalote, IIIT Delhi; Dr Prakhar Mehrotra, Paypal⁠; ⁠Dr Subi Chaturvedi, InMobi; Janet George, Mastercard; Prag Sharma, Citi","This session explores how agentic AI is reshaping digital commerce through autonomous decision-making, trusted identities, and tokenized value exchange. Industry leaders in applied AI will discuss emerging architectures for secure, explainable agents, the evolution of trust and accountability, and the role of tokens in coordinating economic activity. Moderated by an academic expert, the conversation bridges research and practice, examining risks, governance, and opportunities that will define the AI-driven commerce economy over the coming decade globally... Read More",Mastercard
33,Making AI All Inclusive: Bridging AI Communities to India's AI Future,16 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,L1 Meeting Room No. 14,"Mr. Jayant Rastogi, MagicBus; Mr. Madan Padaki, JAN AI; Ms. Nidhi Bhasin, Digital Green; Ms. Noopur Jhunjhunwala, ChangeINKK; Prof. Ramesh Raskar, MIT Media Labs; Sri Rajan, Bain & Co","This session would explore the potential of JAN AI to democratise India's artificial intelligence landscape and bridge digital divides. Discover frameworks for ensuring equitable AI access, culturally responsive design, and inclusive development practices. Learn how stakeholders can collaborate to build AI systems that serve all Indians, not just privileged segments, creating pathways for all communities to participate in and benefit from India's technological transformation",Head Held High Foundation
34,"Enterprise Adoption of Responsible AI: Challenges, Frameworks and Solutions",16 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,L1 Meeting Room No. 8,"Abilash Soundararajan, PrivaSapien; Ashish Tewari, Infosys; Dr.  Subodh Sharma, IIT Delhi; Dr. Geetha Raju, CeRAI - IIT Madras; Raj Shekhar, iSPIRT; Shri Avinash Agarwal, Department of Telecommunications, GoI; Sureshram Venghatachari, PrivaSapien; Vibhav Mithal, Anand & Anand","How can Responsible AI be implemented across the data and AI lifecycle? This seems to be a distant dream across the world, with very limited unified approach to legal, technical, governance and operational requirements. This session builds on top of the unified Techno-legal framework published by the Indian Office of PSA, brings together researchers, policy makers, framework developers, technology platforms and enterprises, to understand the challenges, opportunities and demonstrates a reference implementation of Responsible AI across Data & AI lifecycle.... Read More",PrivaSapien
35,"Democratising Access to AI through Data Infrastructure | Models, Governance and Market Design",16 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,West Wing Room 4 B,"Dr. Gokul Krishnan, CeRAI - IIT Madras; Dr. Nishant Chadha, Policy and Research, ISB; Dr. R. Srinivasan, Center for Digital Public Goods (CDPG) – IIM B; Mr. Abhishek Kumar, Product and Engineering, Wadhwani AI; Mr. Arun Prabhu, Cyril Amarchand Mangaldas; Mr. Ashish Aggarwal, Nasscom; Mr. Gaurav Godhwani, CivicDataLab; Ms. Aparajita Mridha, Department of Post; Ms. Astha Kapoor, Aapti Institute; Ms. Sreenidhi Srinivasan, Ikigai Law","This workshop examines how equitable access to high-quality data can enable inclusive and responsible AI development, particularly in emerging economies. It brings together experts to explore data infrastructure, governance frameworks, and market incentives that support scalable data ecosystems. Through focused discussions on technical models, market design, and regulation, the session aims to generate practical recommendations for reducing data access barriers, improving interoperability, and ensuring that AI development benefits diverse communities, sectors, and local contexts.... Read More",Vidhi Centre for Legal Policy
36,South-South Cooperation in AI Policymaking: Developing a Collaboration Roadmap,16 Feb 2026,11:30 AM - 12:30 PM,Bharat Mandapam,L1 Meeting Room No. 9,"Cyprien Nshimiyimana, Centre for the Fourth Industrial Revolution; Irene Karungi Sekitoleko, Ministry of ICT and National Guidance​; Kautsarina Adam, Ministry of Communication and Information Technology of the Republic of Indonesia; Maxwell Ababio, Data Protection Commission; Odilile Ayodele, Human Sciences Research Council; Rachel Adams, Global Center on AI Governance; Rama Devi Lanka, NITI Aayog, GoI; Richard Mwaura Kiarie, National Treasury; Siphokazi Novukuza, Department of Communications and Digital Technologies; Wolfger Bungarten, Federal Ministry for Economic Cooperation and Development (BMZ)","This session will include presentations by AI policymakers from multiple countries and a discussion to identify shared interests that can inform the development of collaboration roadmaps. Participants will explore cooperation opportunities related to infrastructure pooling, data sharing, cross-border regulatory sandboxes, regulatory harmonisation and mutual recognition, skills programmes, joint AI incident monitoring, and collaborative audit mechanisms.",Human Sciences Research Council (HSRC)
